GeneSymbol	n	Tissues
847	UQCC1	2	2
848	WDR7	2	2
849	WHSC1L1	2	2
850	ZNF283	2	1
851	ZNF542P	2	2
852	ZNF607	2	2
853	ZNF615	2	2
854	ZNF346	2	2
855	MOSPD1	2	2
856	RACK1	2	2
857	AC006116.20	2	1
858	ATP1A2	2	1
859	CAPN13	2	1
860	CARD14	2	1
861	CCNJL	2	1
862	CD3E	2	1
863	CECR1	2	1
864	CGN	2	1
865	DENND1C	2	1
866	EFCAB1	2	1
867	ENTPD2	2	1
868	IRX5	2	1
869	ITGA11	2	1
870	KLC3	2	1
871	KLK11	2	1
872	LIPH	2	1
873	LLGL2	2	1
874	MEST	2	2
875	PIK3C2G	2	1
876	PLEKHH1	2	1
877	PLEKHN1	2	1
878	PRSS8	2	1
879	RASSF7	2	1
880	RNF207	2	1
881	RP11-392E22.9	2	1
882	SLC12A8	2	1
883	SLC13A2	2	1
884	SYTL1	2	1
885	TEPP	2	1
886	TJP3	2	1
887	ZNF711	2	1
888	ATAT1	2	1
889	C2	2	1
890	CLDN7	2	1
891	ESPN	2	1
892	ESRP1	2	1
893	FBXO24	2	1
894	GALNT6	2	1
895	GRB7	2	1
896	LTF	2	1
897	MAGED4B	2	1
898	MGME1	2	1
899	MUC16	2	1
900	PPARGC1A	2	2
901	PRKCQ-AS1	2	1
902	S100A14	2	1
903	SH3BP1	2	1
904	SLAIN1	2	1
905	SLAMF7	2	1
906	SLC44A2	2	2
907	TMEM9	2	2
908	TYW5	2	2
909	VDR	2	1
910	ADRA1A	2	1
911	AMPH	2	1
912	BCL2L11	2	1
913	QRICH2	2	1
914	TRO	2	1
915	XXbac-BPG116M5.17	2	1
916	B4GALNT3	2	1
917	BIRC3	2	1
918	CFAP157	2	2
919	DRC3	2	1
920	ICAM3	2	1
921	IGFN1	2	1
922	KCNN4	2	1
923	MAPK15	2	1
924	MS4A1	2	2
925	NTRK1	2	1
926	OBSL1	2	2
927	PAMR1	2	1
928	RAB26	2	2
929	RP11-295P9.3	2	1
930	RP11-712B9.2	2	2
931	SHANK2	2	1
932	SLC16A11	2	1
933	SLC17A9	2	2
934	SLC22A17	2	2
935	SMYD2	2	2
936	YBX2	2	1
937	ABAT	2	2
938	ACAP1	2	1
939	ADAMTSL1	2	1
940	ADD3	2	2
941	ADGRB1	2	1
942	AKAP6	2	2
943	ANKMY1	2	2
944	AP1B1	2	2
945	AP2A1	2	2
946	ATL1	2	1
947	AZIN2	2	1
948	BLNK	2	1
949	BMP7	2	1
950	BNIP2	2	1
951	C15orf52	2	2
952	CA12	2	1
953	CADM1	2	2
954	CCDC157	2	1
955	CCDC88C	2	2
956	CD24	2	1
957	CD8A	2	1
958	CLIC6	2	2
959	CNTN1	2	1
960	COL16A1	2	1
961	COPS5	2	1
962	CP	2	1
963	CSF1	2	2
964	CYB561	2	1
965	CYP4F11	2	1
966	DAPP1	2	1
967	DCST2	2	1
968	DDX11	2	1
969	DEK	2	2
970	DNAJC7	2	2
971	DOCK7	2	2
972	DRD2	2	1
973	ECT2	2	2
974	EGF	2	1
975	EHF	2	1
976	ELF5	2	1
977	ETV4	2	1
978	EVI5L	2	2
979	EVL	2	2
980	EXD3	2	1
981	FAM198B	2	2
982	FAM228A	2	1
983	FAM60A	2	1
984	FBLN7	2	1
985	FBXL8	2	1
986	FMO1	2	1
987	GABBR1	2	2
988	GALNT3	2	1
989	GARNL3	2	1
990	GATA3	2	1
991	GLB1L2	2	1
992	GLS2	2	1
993	GNB5	2	2
994	GOLGA8B	2	2
995	GPS1	2	2
996	GPX2	2	1
997	GRAMD1C	2	1
998	H2AFY2	2	2
999	HEPH	2	2
1000	HSPA4L	2	2
1001	IGLL5	2	1
1002	IKZF2	2	1
1003	IL17RE	2	1
1004	IL20RB	2	1
1005	IL7R	2	1
1006	IQCA1	2	1
1007	IQCG	2	2
1008	ITGAL	2	1
1009	ITGB4	2	1
1010	ITGBL1	2	1
1011	JCHAIN	2	1
1012	KLK7	2	1
1013	L1CAM	2	2
1014	LAMA3	2	1
1015	LGR4	2	2
1016	LIG1	2	1
1017	LINC01184	2	1
1018	LRFN5	2	1
1019	LRIG3	2	2
1020	LRP1B	2	2
1021	LRRC37B	2	1
1022	LTBP2	2	1
1023	LYNX1	2	1
1024	LYPD6B	2	1
1025	MDK	2	1
1026	MGLL	2	2
1027	MLLT4	2	2
1028	MST1L	2	1
1029	MST1R	2	1
1030	MUC15	2	1
1031	MYB	2	1
1032	MYO6	2	1
1033	NFASC	2	1
1034	NFIB	2	2
1035	NFKBIZ	2	1
1036	NIPSNAP1	2	1
1037	OSBP2	2	1
1038	OSBPL5	2	1
1039	OVOS2	2	2
1040	PABPC1L	2	1
1041	PAK3	2	1
1042	PAK4	2	1
1043	PCNX2	2	1
1044	PECR	2	1
1045	PHF20L1	2	2
1046	PHLDB1	2	2
1047	PLAT	2	2
1048	PLCH2	2	1
1049	PLD1	2	2
1050	POSTN	2	1
1051	PPFIA1	2	2
1052	PPM1N	2	1
1053	PPP1R13L	2	1
1054	PPP1R18	2	1
1055	PPP1R9A	2	1
1056	PTPRU	2	1
1057	PVT1	2	1
1058	RAPGEFL1	2	1
1059	RARG	2	1
1060	RELN	2	1
1061	RGL2	2	2
1062	RGMA	2	1
1063	RGN	2	2
1064	RHPN2	2	1
1065	RUNX2	2	1
1066	SEMA4G	2	1
1067	SERHL2	2	1
1068	SEZ6L2	2	1
1069	SH3D21	2	1
1070	SHROOM3	2	2
1071	SLC16A4	2	1
1072	SLC16A5	2	1
1073	SLC38A3	2	2
1074	SLC39A6	2	2
1075	SLC4A3	2	2
1076	SLC5A6	2	1
1077	SMPDL3B	2	1
1078	SPAG9	2	2
1079	SPINT2	2	2
1080	SPIRE1	2	2
1081	ST8SIA1	2	1
1082	SYNM	2	2
1083	TAC1	2	2
1084	TARSL2	2	2
1085	TBC1D4	2	2
1086	TEK	2	2
1087	TGFBI	2	1
1088	TMEM98	2	1
1089	TMPRSS13	2	1
1090	TMPRSS2	2	1
1091	TRIM16	2	1
1092	TRIM2	2	2
1093	TSC2	2	2
1094	TSPAN5	2	2
1095	TSPOAP1	2	1
1096	TUFT1	2	2
1097	TYW1B	2	2
1098	VPS39	2	2
1099	VTCN1	2	1
1100	ZNF33B	2	2
1101	ZNF431	2	2
1102	ZNF692	2	1
